statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation,q1,q2,q3
Both republicans and democrats should work together to find a compromise on the infrastructure bill.,0,0,0,0,1,0,Health and fitness,news media,"Consider the statement, ""Both republicans and democrats should work together to find a compromise on the infrastructure bill."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Both republicans and democrats should work together to find a compromise on the infrastructure bill."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Both republicans and democrats should work together to find a compromise on the infrastructure bill."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Bottom is bottom even if it is turned upside down.,1,0,1,0,0,1,Philosophy and thinking,aphorism,"Consider the statement, ""Bottom is bottom even if it is turned upside down."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Bottom is bottom even if it is turned upside down."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Bottom is bottom even if it is turned upside down."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Breathing is important but once you stop you never have to exercise again.,0,1,0,1,0,0,Health and fitness,category response,"Consider the statement, ""Breathing is important but once you stop you never have to exercise again."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Breathing is important but once you stop you never have to exercise again."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Breathing is important but once you stop you never have to exercise again."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Buddhism originated in asia.,1,1,0,0,0,0,Geography and places,category response,"Consider the statement, ""Buddhism originated in asia."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Buddhism originated in asia."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Buddhism originated in asia."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Budgets should account for out of control costs to prevent calamities.,0,0,1,0,1,1,Health and fitness,news media,"Consider the statement, ""Budgets should account for out of control costs to prevent calamities."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Budgets should account for out of control costs to prevent calamities."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Budgets should account for out of control costs to prevent calamities."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Buereaucratic inefficiences should be avoided.,1,1,0,1,0,1,General reference,news media,"Consider the statement, ""Buereaucratic inefficiences should be avoided."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Buereaucratic inefficiences should be avoided."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Buereaucratic inefficiences should be avoided."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Burn the seed of false knowledge so it might not sprout again.,0,0,1,1,0,1,Philosophy and thinking,aphorism,"Consider the statement, ""Burn the seed of false knowledge so it might not sprout again."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Burn the seed of false knowledge so it might not sprout again."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Burn the seed of false knowledge so it might not sprout again."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
But these liberal proabortion extremists just don't get it.,1,0,0,0,1,0,Culture and the arts,campaign email,"Consider the statement, ""But these liberal proabortion extremists just don't get it."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""But these liberal proabortion extremists just don't get it."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""But these liberal proabortion extremists just don't get it."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Butter is yellow.,0,1,1,0,0,1,Natural and physical sciences,Concept Net,"Consider the statement, ""Butter is yellow."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Butter is yellow."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Butter is yellow."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Buying a shirt requires money.,1,1,0,1,0,1,Philosophy and thinking,Concept Net,"Consider the statement, ""Buying a shirt requires money."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Buying a shirt requires money."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Buying a shirt requires money."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
By his own verdict no guilty man was ever acquitted.,0,1,0,0,0,1,Health and fitness,aphorism,"Consider the statement, ""By his own verdict no guilty man was ever acquitted."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""By his own verdict no guilty man was ever acquitted."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""By his own verdict no guilty man was ever acquitted."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
By overcoming his passions a person overcomes his greatest enemies.,1,0,0,1,1,0,People and self,aphorism,"Consider the statement, ""By overcoming his passions a person overcomes his greatest enemies."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""By overcoming his passions a person overcomes his greatest enemies."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""By overcoming his passions a person overcomes his greatest enemies."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
By the time the fool has learned the game the players have dispersed.,1,0,1,0,1,1,People and self,aphorism,"Consider the statement, ""By the time the fool has learned the game the players have dispersed."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""By the time the fool has learned the game the players have dispersed."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""By the time the fool has learned the game the players have dispersed."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Bytes are more than bits.,0,0,0,0,0,0,General reference,category response,"Consider the statement, ""Bytes are more than bits."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Bytes are more than bits."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Bytes are more than bits."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Cake is sweet.,0,1,0,1,0,0,General reference,Concept Net,"Consider the statement, ""Cake is sweet."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cake is sweet."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cake is sweet."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Calculus is a type of mathatics and logic that is very hard to understand.,1,0,0,1,1,1,Mathematics and logic,category response,"Consider the statement, ""Calculus is a type of mathatics and logic that is very hard to understand."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Calculus is a type of mathatics and logic that is very hard to understand."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Calculus is a type of mathatics and logic that is very hard to understand."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
California needs to be made more livable and affordable.,0,0,0,0,1,0,Geography and places,news media,"Consider the statement, ""California needs to be made more livable and affordable."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""California needs to be made more livable and affordable."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""California needs to be made more livable and affordable."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Calling mary's mother john would hang up immediately after she answers.,0,0,0,0,0,1,Philosophy and thinking,category response,"Consider the statement, ""Calling mary's mother john would hang up immediately after she answers."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Calling mary's mother john would hang up immediately after she answers."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Calling mary's mother john would hang up immediately after she answers."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Can i count on you to support me in this fight to better safegaurd public health.,1,1,0,1,1,1,Natural and physical sciences,campaign email,"Consider the statement, ""Can i count on you to support me in this fight to better safegaurd public health."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Can i count on you to support me in this fight to better safegaurd public health."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Can i count on you to support me in this fight to better safegaurd public health."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Canada is north of the united states.,0,1,0,0,0,0,Geography and places,Concept Net,"Consider the statement, ""Canada is north of the united states."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Canada is north of the united states."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Canada is north of the united states."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Cancel culture should not be tolerated in a develpoed society.,0,0,0,0,0,1,Religion and belief systems,news media,"Consider the statement, ""Cancel culture should not be tolerated in a develpoed society."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cancel culture should not be tolerated in a develpoed society."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cancel culture should not be tolerated in a develpoed society."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Cancelling the keystone xl pipeline will mean the oil will have to be transported by rail which will only raise emissions.,0,0,0,0,0,1,General reference,news media,"Consider the statement, ""Cancelling the keystone xl pipeline will mean the oil will have to be transported by rail which will only raise emissions."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cancelling the keystone xl pipeline will mean the oil will have to be transported by rail which will only raise emissions."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cancelling the keystone xl pipeline will mean the oil will have to be transported by rail which will only raise emissions."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Caring for each other has never been a partisan issue in michigan.,1,1,0,1,1,0,Society and social sciences,campaign email,"Consider the statement, ""Caring for each other has never been a partisan issue in michigan."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Caring for each other has never been a partisan issue in michigan."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Caring for each other has never been a partisan issue in michigan."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Catholic mass is usually held at church.,1,1,0,1,0,0,Religion and belief systems,category response,"Consider the statement, ""Catholic mass is usually held at church."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Catholic mass is usually held at church."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Catholic mass is usually held at church."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Cats have higher body temperatures and crave heat which is why they like confining themselves into tight spaces.,0,1,0,0,0,0,Natural and physical sciences,category response,"Consider the statement, ""Cats have higher body temperatures and crave heat which is why they like confining themselves into tight spaces."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cats have higher body temperatures and crave heat which is why they like confining themselves into tight spaces."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cats have higher body temperatures and crave heat which is why they like confining themselves into tight spaces."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Cdc guidelines should be balanced with a social responsibility towards the populace.,0,0,1,0,0,1,Religion and belief systems,news media,"Consider the statement, ""Cdc guidelines should be balanced with a social responsibility towards the populace."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cdc guidelines should be balanced with a social responsibility towards the populace."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cdc guidelines should be balanced with a social responsibility towards the populace."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Cdc guidelines should be caveated with state laws and rules.,1,0,0,1,1,1,Human activities,news media,"Consider the statement, ""Cdc guidelines should be caveated with state laws and rules."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cdc guidelines should be caveated with state laws and rules."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cdc guidelines should be caveated with state laws and rules."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Cell phone batteries need to be charged.,0,1,0,0,0,0,Technology and applied sciences,category response,"Consider the statement, ""Cell phone batteries need to be charged."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cell phone batteries need to be charged."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cell phone batteries need to be charged."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Cellphones don't cause cancer.,1,0,0,0,0,0,General reference,category response,"Consider the statement, ""Cellphones don't cause cancer."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cellphones don't cause cancer."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cellphones don't cause cancer."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Certain policies are no brainers like protecting americans and the environment.,1,1,0,1,1,1,Society and social sciences,campaign email,"Consider the statement, ""Certain policies are no brainers like protecting americans and the environment."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Certain policies are no brainers like protecting americans and the environment."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Certain policies are no brainers like protecting americans and the environment."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Changes in police policy and procedure are necessary and simple to make.,1,0,0,1,1,1,History and events,campaign email,"Consider the statement, ""Changes in police policy and procedure are necessary and simple to make."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Changes in police policy and procedure are necessary and simple to make."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Changes in police policy and procedure are necessary and simple to make."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Chaos often breeds life when order breeds habit.,1,0,0,1,1,1,People and self,aphorism,"Consider the statement, ""Chaos often breeds life when order breeds habit."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Chaos often breeds life when order breeds habit."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Chaos often breeds life when order breeds habit."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Character is much easier kept than recovered.,1,1,1,1,1,1,People and self,aphorism,"Consider the statement, ""Character is much easier kept than recovered."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Character is much easier kept than recovered."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Character is much easier kept than recovered."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Character is not cut in marble it is not something solid and unalterable it is something living and changing and may become diseased as our bodies do.,0,0,0,0,0,1,General reference,aphorism,"Consider the statement, ""Character is not cut in marble it is not something solid and unalterable it is something living and changing and may become diseased as our bodies do."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Character is not cut in marble it is not something solid and unalterable it is something living and changing and may become diseased as our bodies do."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Character is not cut in marble it is not something solid and unalterable it is something living and changing and may become diseased as our bodies do."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Charity degrades those who receive it and hardens those who dispense it.,0,1,0,1,0,1,Philosophy and thinking,aphorism,"Consider the statement, ""Charity degrades those who receive it and hardens those who dispense it."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Charity degrades those who receive it and hardens those who dispense it."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Charity degrades those who receive it and hardens those who dispense it."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Checking in on family friends and neighbors.,1,0,0,1,1,0,General reference,campaign email,"Consider the statement, ""Checking in on family friends and neighbors."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Checking in on family friends and neighbors."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Checking in on family friends and neighbors."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Chemistry is included in the physical sciences field.,0,1,0,0,0,0,Natural and physical sciences,category response,"Consider the statement, ""Chemistry is included in the physical sciences field."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Chemistry is included in the physical sciences field."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Chemistry is included in the physical sciences field."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Children are like grown people the experience of others is never of any use to them.,1,0,1,1,1,0,Philosophy and thinking,aphorism,"Consider the statement, ""Children are like grown people the experience of others is never of any use to them."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Children are like grown people the experience of others is never of any use to them."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Children are like grown people the experience of others is never of any use to them."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Children can be noisy.,1,1,0,1,0,0,People and self,Concept Net,"Consider the statement, ""Children can be noisy."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Children can be noisy."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Children can be noisy."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Children should not be taught to be ashamed of their own skin color.,0,0,0,0,1,1,General reference,news media,"Consider the statement, ""Children should not be taught to be ashamed of their own skin color."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Children should not be taught to be ashamed of their own skin color."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Children should not be taught to be ashamed of their own skin color."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Children should not have easy access to fireworks.,1,1,0,1,1,0,Culture and the arts,news media,"Consider the statement, ""Children should not have easy access to fireworks."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Children should not have easy access to fireworks."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Children should not have easy access to fireworks."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Children's books can never be a threat to society.,1,1,0,1,1,0,Society and social sciences,news media,"Consider the statement, ""Children's books can never be a threat to society."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Children's books can never be a threat to society."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Children's books can never be a threat to society."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
China has the highest population density.,1,0,0,0,0,1,Geography and places,category response,"Consider the statement, ""China has the highest population density."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""China has the highest population density."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""China has the highest population density."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
China is on the other side of earth of the us.,0,1,0,0,0,0,Geography and places,category response,"Consider the statement, ""China is on the other side of earth of the us."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""China is on the other side of earth of the us."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""China is on the other side of earth of the us."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Chip in 10 or more to help steve today.,1,1,0,1,0,0,Society and social sciences,campaign email,"Consider the statement, ""Chip in 10 or more to help steve today."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Chip in 10 or more to help steve today."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Chip in 10 or more to help steve today."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Choose a job you love and you will never have to work a day in your life.,1,1,0,1,1,1,Human activities,aphorism,"Consider the statement, ""Choose a job you love and you will never have to work a day in your life."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Choose a job you love and you will never have to work a day in your life."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Choose a job you love and you will never have to work a day in your life."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Christianity is a popular religion in the united states.,1,0,0,1,1,0,Religion and belief systems,category response,"Consider the statement, ""Christianity is a popular religion in the united states."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Christianity is a popular religion in the united states."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Christianity is a popular religion in the united states."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Christianity is the most practiced religion in the united states.,0,0,0,0,0,0,Religion and belief systems,category response,"Consider the statement, ""Christianity is the most practiced religion in the united states."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Christianity is the most practiced religion in the united states."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Christianity is the most practiced religion in the united states."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Christians follow christ's teachings.,0,0,0,1,1,0,General reference,category response,"Consider the statement, ""Christians follow christ's teachings."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Christians follow christ's teachings."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Christians follow christ's teachings."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Chuck schumer is doing the mockery.,1,1,1,1,1,1,People and self,campaign email,"Consider the statement, ""Chuck schumer is doing the mockery."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Chuck schumer is doing the mockery."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Chuck schumer is doing the mockery."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Cities need poll workers to fight corruption.,1,0,0,1,0,1,Society and social sciences,campaign email,"Consider the statement, ""Cities need poll workers to fight corruption."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cities need poll workers to fight corruption."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cities need poll workers to fight corruption."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Citizens should respect their institutions and social processes.,1,1,0,0,0,1,Human activities,news media,"Consider the statement, ""Citizens should respect their institutions and social processes."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Citizens should respect their institutions and social processes."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Citizens should respect their institutions and social processes."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Civil disobedience is justified when god commands it.,0,0,0,0,1,1,General reference,news media,"Consider the statement, ""Civil disobedience is justified when god commands it."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Civil disobedience is justified when god commands it."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Civil disobedience is justified when god commands it."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Civilization advances by extending the number of important operations which we can perform without thinking about them.,1,0,0,1,0,0,History and events,aphorism,"Consider the statement, ""Civilization advances by extending the number of important operations which we can perform without thinking about them."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Civilization advances by extending the number of important operations which we can perform without thinking about them."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Civilization advances by extending the number of important operations which we can perform without thinking about them."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Climate change is a serious threat which must be acted upon.,0,1,0,0,0,0,Natural and physical sciences,news media,"Consider the statement, ""Climate change is a serious threat which must be acted upon."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Climate change is a serious threat which must be acted upon."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Climate change is a serious threat which must be acted upon."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Climate change is not fake.,0,0,0,0,0,0,Natural and physical sciences,news media,"Consider the statement, ""Climate change is not fake."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Climate change is not fake."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Climate change is not fake."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Coffee is served hot.,0,1,0,0,0,0,Society and social sciences,Concept Net,"Consider the statement, ""Coffee is served hot."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Coffee is served hot."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Coffee is served hot."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Cold would make you want to light a fire.,0,1,0,0,0,1,Human activities,Concept Net,"Consider the statement, ""Cold would make you want to light a fire."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cold would make you want to light a fire."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Cold would make you want to light a fire."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Coll will help the public in congress.,0,1,0,0,1,1,Technology and applied sciences,campaign email,"Consider the statement, ""Coll will help the public in congress."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Coll will help the public in congress."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Coll will help the public in congress."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Common natures pay with what they do noble ones with what they are.,1,0,1,1,1,1,Philosophy and thinking,aphorism,"Consider the statement, ""Common natures pay with what they do noble ones with what they are."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Common natures pay with what they do noble ones with what they are."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Common natures pay with what they do noble ones with what they are."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Common sense is the best distributed commodity in the world for every man is convinced that he is well supplied with it.,0,0,0,1,0,1,General reference,aphorism,"Consider the statement, ""Common sense is the best distributed commodity in the world for every man is convinced that he is well supplied with it."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Common sense is the best distributed commodity in the world for every man is convinced that he is well supplied with it."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Common sense is the best distributed commodity in the world for every man is convinced that he is well supplied with it."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
Common sense is the collection of prejudices acquired by age eighteen.,1,0,1,1,1,1,People and self,aphorism,"Consider the statement, ""Common sense is the collection of prejudices acquired by age eighteen."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Common sense is the collection of prejudices acquired by age eighteen."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""Common sense is the collection of prejudices acquired by age eighteen."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
